Date,Price,Open,High,Low,Vol.,Change %,,
19/10/2017,30.75,27.87,30.75,27.87,7.08K,9.78%,,
18/10/2017,28.01,30.75,30.75,28.01,34.77K,-1.02%,,
17/10/2017,28.3,28.06,29.33,28.06,14.84K,-2.41%,,
16/10/2017,29,29.2,29.2,28.5,27.15K,-0.17%,,
13/10/2017,29.05,29,30,29,12.05K,-3.04%,,
12/10/2017,29.96,29.95,29.96,28.25,27.14K,1.59%,,
11/10/2017,29.49,29.33,29.49,28.05,14.25K,1.34%,,
10/10/2017,29.1,29.99,29.99,29,4.01K,3.93%,,
9/10/2017,28,30,30,27.9,7.22K,-6.67%,,
6/10/2017,30,30.5,30.5,29,8.60K,-2.44%,,
5/10/2017,30.75,30,30.79,30,26.84K,-0.13%,,
4/10/2017,30.79,28.5,30.79,28,19.38K,0.00%,,
3/10/2017,30.79,29.5,30.79,27.96,14.45K,4.73%,,
29/09/2017,29.4,30.78,30.78,29.33,6.31K,0.24%,,
28/09/2017,29.33,27.87,30.7,27.87,17.88K,5.16%,,
27/09/2017,27.89,29.33,30.29,27.87,38.84K,-0.04%,,
26/09/2017,27.9,30,30,27.9,19.23K,-3.79%,,
25/09/2017,29,30.32,30.32,29,16.23K,-1.13%,,
22/09/2017,29.33,29.33,29.33,29.33,275.81K,0.00%,,
21/09/2017,29.33,29.33,29.33,29.33,4.50K,0.00%,,
20/09/2017,29.33,29.33,29.33,29.33,20.81K,-0.54%,,
19/09/2017,29.49,29.5,29.5,29.49,22.34K,-0.20%,,
18/09/2017,29.55,31.98,31.98,29.55,7.99K,-0.17%,,
15/09/2017,29.6,30.87,30.87,29.6,11.30K,0.17%,,
14/09/2017,29.55,32.41,32.41,29.5,112.65K,-4.28%,,
13/09/2017,30.87,32.41,32.41,30.87,93.20K,-0.10%,,
12/9/2017,30.9,30.6,32.41,30.6,31.06K,-3.44%,,
11/9/2017,32,30.6,32.41,30.6,11.39K,3.66%,,
8/9/2017,30.87,30.6,32.41,30.6,50.89K,0.88%,,
7/9/2017,30.6,30.6,32.41,30.6,52.08K,0.33%,,
6/9/2017,30.5,29.51,31.9,29.5,37.58K,-1.20%,,
5/9/2017,30.87,30.87,30.87,30.87,179.04K,-4.99%,,
31/08/2017,32.49,32.49,32.49,32.49,75.40K,0.00%,,
30/08/2017,32.49,34.2,34.2,32.49,35.53K,-5.00%,,
29/08/2017,34.2,34.2,34.2,34.2,72.97K,0.00%,,
28/08/2017,34.2,35.8,35.8,34.2,10.91K,0.00%,,
25/08/2017,34.2,34.2,34.2,34.2,,-2.01%,,
24/08/2017,34.9,35,35,34.2,0.97K,2.05%,,
23/08/2017,34.2,34.2,34.2,34.2,3.00K,0.00%,,
22/08/2017,34.2,34.25,35.99,34.2,5.82K,-0.15%,,
21/08/2017,34.25,35.99,35.99,34.25,5.39K,0.15%,,
